"","scrubbed_genus","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","region","country","state_province","locality_description","access","id"
"67","Rhododendron","Rhododendron groenlandicum","leaf phosphorus content per leaf dry mass","0.86","mg.g-1",NA,45.32,-75.59,116,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Canada","Ontario",NA,"public",4288326
"68","Rhododendron","Rhododendron groenlandicum","leaf area per leaf dry mass","8.86914378","m2.kg-1",NA,45.32,-75.59,116,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Canada","Ontario",NA,"public",4288327
"69","Rhododendron","Rhododendron groenlandicum","leaf photosynthetic rate per leaf area","11.723241","Âµmol.m-2.s-1",NA,45.32,-75.59,116,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Canada","Ontario",NA,"public",4288328
"70","Rhododendron","Rhododendron groenlandicum","leaf photosynthetic rate per leaf dry mass","0.10397511","Âµmol.g-1.s-1",NA,45.32,-75.59,116,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Canada","Ontario",NA,"public",4288329
"71","Rhododendron","Rhododendron lapponicum","leaf nitrogen content per leaf area","0.00266986052","kg.m-2",NA,67.5,-152.5,760,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Alaska",NA,"public",4288330
"72","Rhododendron","Rhododendron groenlandicum","leaf carbon content per leaf nitrogen content","11.095",NA,NA,45.32,-75.59,116,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","Canada","Ontario",NA,"public",4288331
"73","Rhododendron","Rhododendron maximum","leaf nitrogen content per leaf area","0.00175869121","kg.m-2",NA,35.5,-83.5,775,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","North Carolina",NA,"public",4288332
"74","Rhododendron","Rhododendron maximum","leaf stomatal conductance for H2O per leaf area","136","mol.H2O.m-2.s-1",NA,35.5,-83.5,775,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","North Carolina",NA,"public",4288333
"75","Rhododendron","Rhododendron maximum","leaf photosynthetic rate per leaf area","6.84","Âµmol.m-2.s-1",NA,35.5,-83.5,775,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","North Carolina",NA,"public",4288334
"76","Rhododendron","Rhododendron maximum","leaf carbon content per leaf nitrogen content","10.742",NA,NA,35.5,-83.5,775,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","North Carolina",NA,"public",4288335
"77","Rhododendron","Rhododendron lapponicum","leaf nitrogen content per leaf dry mass","14.2","mg.g-1",NA,67.5,-152.5,760,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Alaska",NA,"public",4288336
"78","Rhododendron","Rhododendron lapponicum","leaf phosphorus content per leaf area","0.34105","g.m-2",NA,67.5,-152.5,760,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Alaska",NA,"public",4288337
"79","Rhododendron","Rhododendron lapponicum","leaf phosphorus content per leaf dry mass","1.45","mg.g-1",NA,67.5,-152.5,760,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Alaska",NA,"public",4288338
"80","Rhododendron","Rhododendron lapponicum","leaf area per leaf dry mass","5.3186299","m2.kg-1",NA,67.5,-152.5,760,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Alaska",NA,"public",4288339
"81","Rhododendron","Rhododendron lapponicum","leaf photosynthetic rate per leaf area","8.8","Âµmol.m-2.s-1",NA,67.5,-152.5,760,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Alaska",NA,"public",4288340
"82","Rhododendron","Rhododendron lapponicum","leaf photosynthetic rate per leaf dry mass","0.0543","Âµmol.g-1.s-1",NA,67.5,-152.5,760,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Alaska",NA,"public",4288341
"83","Rhododendron","Rhododendron lapponicum","leaf carbon content per leaf nitrogen content","16.066",NA,NA,67.5,-152.5,760,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","United States","Alaska",NA,"public",4288342
"84","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","7.5","cm",NA,35.899388813,-81.885227894,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Linville Gorge","public",5140982
"85","Rhododendron","Rhododendron arborescens","diameter at breast height (1.3 m)","3.75","cm",NA,35.036667693,-83.28564898,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Nantahala NF - Scaly Mountain","public",5144273
"86","Rhododendron","Rhododendron calendulaceum","diameter at breast height (1.3 m)","3.75","cm",NA,36.132269687,-81.692094679,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - China Creek","public",5144275
"87","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","7.5","cm",NA,35.939150756,-81.920927699,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Linville Gorge","public",5144276
"88","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","3.75","cm",NA,35.95240558,-81.920749283,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Linville Gorge","public",5144277
"89","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","3.75","cm",NA,35.893337267,-81.898788989,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Linville Gorge","public",5144278
"90","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","3.75","cm",NA,35.869325936,-81.890541635,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Linville Gorge","public",5144279
"91","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","7.5","cm",NA,35.342492466,-82.876006487,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Shinning Rock","public",5144280
"92","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","3.75","cm",NA,35.379342257,-82.900526882,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Shinning Rock","public",5144281
"93","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","7.5","cm",NA,35.353172506,-82.879114817,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Shinning Rock","public",5144282
"94","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","0.5","cm",NA,35.4,-84,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Joyce Kilmer - Slick Rock Wilderness Area","public",5144283
"95","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","1.75","cm",NA,35.005174558,-83.142294758,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Ellicott Rock Wilderness Area","public",5144284
"96","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","1.75","cm",NA,35.001116385,-83.139786798,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Ellicott Rock Wilderness Area","public",5144285
"97","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","7.5","cm",NA,35.168331418,-83.019736077,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Nantahala NF - Panthertown Valley","public",5144286
"98","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","0.5","cm",NA,35.269948081,-83.457143367,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Nantahala NF - Little Tennessee River","public",5144287
"99","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","0.5","cm",NA,36.332378796,-81.656649721,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Long Hope Valley","public",5144288
"100","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","0.5","cm",NA,35.800789296,-82.167274659,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Sevenmile Ridge; plot is in from end of a closed road, through swamp and across the creek","public",5144290
"101","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","1.75","cm",NA,36.44523424,-81.06088043,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Bullhead Mountain; Plot is just east of road, a short distance up from the park corner","public",5144291
"102","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","1.75","cm",NA,36.37968579,-80.11516494,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Dan River Cliffs","public",5144292
"103","Rhododendron",NA,"diameter at breast height (1.3 m)","0.5","cm",NA,35.836793744,-81.900474157,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Linville Gorge","public",5144293
"104","Rhododendron","Rhododendron calendulaceum","diameter at breast height (1.3 m)","0.5","cm",NA,35.385266669,-83.107783334,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Balsam Mountain Preserve","public",5144688
"105","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","1.75","cm",NA,35.380900003,-83.109466667,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Balsam Mountain Preserve","public",5144690
"106","Rhododendron","Rhododendron periclymenoides","diameter at breast height (1.3 m)","1.75","cm",NA,38.2652555555556,-78.6709055555556,NA,NA,"Dean Walton",NA,"United States",NA,"Patterson Ridge Trail","public",5241962
"107","Rhododendron","Rhododendron calendulaceum","diameter at breast height (1.3 m)","0.5","cm",NA,35.402477566,-82.862311428,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Shinning Rock","public",5242040
"108","Rhododendron","Rhododendron catawbiense","diameter at breast height (1.3 m)","0.5","cm",NA,35.851583684,-81.91193771,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Linville Gorge","public",5242041
"109","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","7.5","cm",NA,35.38847391,-82.893144996,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pisgah NF - Shinning Rock","public",5242042
"110","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","7.5","cm",NA,35.397334959,-83.936360311,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Joyce Kilmer - Slick Rock Wilderness Area","public",5242043
"111","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","3.75","cm",NA,35.394562785,-84.012209083,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Joyce Kilmer - Slick Rock Wilderness Area","public",5242044
"112","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","3.75","cm",NA,35.409767358,-84.00969233,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Joyce Kilmer - Slick Rock Wilderness Area","public",5242046
"113","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","12.5","cm",NA,35.35836577,-83.959813648,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Joyce Kilmer - Slick Rock Wilderness Area","public",5242047
"114","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","0.5","cm",NA,35.356811459,-83.934892111,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Joyce Kilmer - Slick Rock Wilderness Area","public",5242048
"115","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","1.75","cm",NA,36.458947249,-81.333452442,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"New River","public",5242050
"116","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","7.5","cm",NA,35.215519856,-82.335472022,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Pearson Falls","public",5242051
"117","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","12.5","cm",NA,35.079570821,-82.906054623,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Gorges SP - Bearwallow Creek","public",5242052
"118","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","7.5","cm",NA,35.082562711,-82.905575719,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Gorges SP - Bearwallow Creek","public",5242053
"119","Rhododendron","Rhododendron maximum","diameter at breast height (1.3 m)","0.5","cm",NA,36.22116961,-81.2906468,NA,NA,"Robert Peet","uniola@email.unc.edu","United States",NA,"Rendezvous Mountain Educational State Forest; See additional notes on cover sheet.;  AND: Approximately 100m at 80 degrees from first picnic table on left, on trail southeast of parking area.  See map on cover sheet under location notes and additional notes.","public",5242056
